code,StopTime,P_ECS,V_SPI,Q_SPI,Q_SLS,Q_out,Q_GS,Q_BBB,Q_A
B,0,   10.323952,   80.077325,    0.074244,    0.075408,    0.335812,    0.133725,    0.035915,    718.9595
C_Ref,3000,   10.888174,   80.527373,   -0.000611,    0.000000,    0.330402,    0.177468,    0.031508,    718.9584
