code,StopTime,P_VEN,P_SAS,grad,V_VEN,P_ECS,Q_VEN,Q_out,Q_GS,Q_BBB
B,0,   11.758900,   10.508900,    1.250000,   24.911700,   10.324000,    0.300000,    0.335812,    0.133725,    0.035915
H+C,9000,   22.352900,   21.102900,    1.250000,   24.905300,   20.937100,    0.299999,    0.291550,    0.111696,   -0.008438
HA+C,15000,   22.380400,   21.130400,    1.250000,   24.892400,   21.003100,    0.299999,    0.292450,    0.118680,   -0.007536
